PeriodEnd,PeriodStart,Period,AirTemp,CloudOpacity,Dhi,Dni,Ghi,PrecipitableWater,RelativeHumidity,SurfacePressure,WindDirection10m,WindSpeed10m
2018-12-31T02:00:00Z,2018-12-31T01:00:00Z,PT60M,12.8,2.2,6,17,7,7.8,61.1,956.3,96,3.4
2018-12-31T03:00:00Z,2018-12-31T02:00:00Z,PT60M,13.2,21.8,86,171,130,7.6,60.3,957.1,96,3.9
2018-12-31T04:00:00Z,2018-12-31T03:00:00Z,PT60M,15.0,0.1,88,771,387,7.6,54.7,957.5,97,4.0
2018-12-31T05:00:00Z,2018-12-31T04:00:00Z,PT60M,18.3,0.0,107,883,591,7.7,46.0,957.5,99,3.7
2018-12-31T06:00:00Z,2018-12-31T05:00:00Z,PT60M,21.6,0.0,121,930,741,7.7,38.8,957.6,102,3.5
2018-12-31T07:00:00Z,2018-12-31T06:00:00Z,PT60M,23.8,0.0,142,924,819,7.9,33.7,957.1,102,3.3
2018-12-31T08:00:00Z,2018-12-31T07:00:00Z,PT60M,24.9,0.0,146,920,825,8.1,30.1,956.0,101,3.0
2018-12-31T09:00:00Z,2018-12-31T08:00:00Z,PT60M,26.0,13.9,306,499,655,8.3,26.9,954.9,100,2.8
2018-12-31T10:00:00Z,2018-12-31T09:00:00Z,PT60M,26.3,35.6,367,53,400,8.5,27.4,954.4,96,2.5
2018-12-31T11:00:00Z,2018-12-31T10:00:00Z,PT60M,25.7,41.4,243,19,252,8.8,31.7,954.4,88,2.2
2018-12-31T12:00:00Z,2018-12-31T11:00:00Z,PT60M,25.0,38.3,118,8,119,9.2,36.6,954.5,76,1.9
2018-12-31T13:00:00Z,2018-12-31T12:00:00Z,PT60M,23.4,36.3,15,25,18,9.3,40.9,954.8,65,2.0
2018-12-31T14:00:00Z,2018-12-31T13:00:00Z,PT60M,20.7,54.8,0,0,0,9.3,44.3,955.4,60,2.4
2018-12-31T15:00:00Z,2018-12-31T14:00:00Z,PT60M,18.1,42.1,0,0,0,9.3,48.1,956.0,56,2.9
2018-12-31T16:00:00Z,2018-12-31T15:00:00Z,PT60M,16.3,30.4,0,0,0,9.2,50.6,956.2,58,3.0
2018-12-31T17:00:00Z,2018-12-31T16:00:00Z,PT60M,15.4,18.3,0,0,0,9.1,51.5,956.1,66,2.7
2018-12-31T18:00:00Z,2018-12-31T17:00:00Z,PT60M,14.5,6.8,0,0,0,8.9,52.4,956.0,75,2.5
2018-12-31T19:00:00Z,2018-12-31T18:00:00Z,PT60M,13.8,33.8,0,0,0,8.7,52.7,955.8,82,2.4
2018-12-31T20:00:00Z,2018-12-31T19:00:00Z,PT60M,13.3,47.1,0,0,0,8.4,52.4,955.6,85,2.3
2018-12-31T21:00:00Z,2018-12-31T20:00:00Z,PT60M,12.8,55.5,0,0,0,8.2,52.1,955.3,88,2.3
2018-12-31T22:00:00Z,2018-12-31T21:00:00Z,PT60M,12.4,46.8,0,0,0,8.1,53.4,955.3,91,2.3
2018-12-31T23:00:00Z,2018-12-31T22:00:00Z,PT60M,12.1,64.5,0,0,0,8.1,56.5,955.4,93,2.3
2019-01-01T00:00:00Z,2018-12-31T23:00:00Z,PT60M,11.7,44.9,0,0,0,8.1,59.7,955.5,96,2.3
2019-01-01T01:00:00Z,2019-01-01T00:00:00Z,PT60M,11.9,2.6,0,0,0,8.1,60.8,956.0,99,2.6
2019-01-01T02:00:00Z,2019-01-01T01:00:00Z,PT60M,12.6,2.6,6,15,7,8.2,59.8,956.7,102,3.1
2019-01-01T03:00:00Z,2019-01-01T02:00:00Z,PT60M,13.3,19.2,85,181,132,8.2,58.7,957.4,104,3.7
2019-01-01T04:00:00Z,2019-01-01T03:00:00Z,PT60M,15.4,0.0,82,791,387,8.3,52.6,957.7,106,3.8
2019-01-01T05:00:00Z,2019-01-01T04:00:00Z,PT60M,19.1,0.0,97,902,592,8.4,43.2,957.6,108,3.4
2019-01-01T06:00:00Z,2019-01-01T05:00:00Z,PT60M,22.8,0.0,107,953,743,8.6,35.7,957.5,111,3.1
2019-01-01T07:00:00Z,2019-01-01T06:00:00Z,PT60M,25.2,0.0,118,964,824,8.7,30.7,956.8,115,2.8
2019-01-01T08:00:00Z,2019-01-01T07:00:00Z,PT60M,26.3,0.0,121,962,832,8.9,27.4,955.7,118,2.5
2019-01-01T09:00:00Z,2019-01-01T08:00:00Z,PT60M,27.4,0.0,119,939,764,9.1,24.5,954.6,122,2.1
2019-01-01T10:00:00Z,2019-01-01T09:00:00Z,PT60M,27.9,11.1,231,553,560,9.3,23.9,954.1,126,1.6
2019-01-01T11:00:00Z,2019-01-01T10:00:00Z,PT60M,27.8,8.0,163,552,396,9.7,25.3,954.0,136,0.8
2019-01-01T12:00:00Z,2019-01-01T11:00:00Z,PT60M,27.7,0.4,66,570,205,10.0,26.9,953.9,231,0.3
2019-01-01T13:00:00Z,2019-01-01T12:00:00Z,PT60M,26.7,40.7,13,56,19,10.2,29.3,954.2,304,0.7
2019-01-01T14:00:00Z,2019-01-01T13:00:00Z,PT60M,24.7,57.0,0,0,0,10.2,32.7,954.7,335,1.2
2019-01-01T15:00:00Z,2019-01-01T14:00:00Z,PT60M,22.7,56.5,0,0,0,10.2,36.7,955.3,345,1.9
2019-01-01T16:00:00Z,2019-01-01T15:00:00Z,PT60M,20.8,36.3,0,0,0,10.2,41.0,955.5,356,2.1
2019-01-01T17:00:00Z,2019-01-01T16:00:00Z,PT60M,19.0,15.2,0,0,0,10.1,45.7,955.4,14,2.1
2019-01-01T18:00:00Z,2019-01-01T17:00:00Z,PT60M,17.2,0.0,0,0,0,10.0,51.0,955.3,32,2.2
2019-01-01T19:00:00Z,2019-01-01T18:00:00Z,PT60M,15.7,0.0,0,0,0,9.9,55.6,955.1,45,2.3
2019-01-01T20:00:00Z,2019-01-01T19:00:00Z,PT60M,14.3,0.0,0,0,0,9.8,59.2,954.9,58,2.2
2019-01-01T21:00:00Z,2019-01-01T20:00:00Z,PT60M,13.0,3.5,0,0,0,9.7,63.1,954.6,72,2.1
2019-01-01T22:00:00Z,2019-01-01T21:00:00Z,PT60M,12.2,56.1,0,0,0,9.5,66.0,954.6,83,2.1
2019-01-01T23:00:00Z,2019-01-01T22:00:00Z,PT60M,11.8,56.5,0,0,0,9.2,67.7,954.6,94,2.0
2019-01-02T00:00:00Z,2019-01-01T23:00:00Z,PT60M,11.5,53.0,0,0,0,9.0,69.4,954.7,105,2.0
2019-01-02T01:00:00Z,2019-01-02T00:00:00Z,PT60M,11.7,18.1,0,0,0,8.9,68.4,955.1,112,2.2
2019-01-02T02:00:00Z,2019-01-02T01:00:00Z,PT60M,12.5,49.1,4,0,4,9.0,64.6,955.8,113,2.5
